Job Title,Company Name,Location,Skills,Links,Posted At
Front-End (React) Developer,More -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Computer Science · UI · Git · React · APIs · REST,/jobs/p/B7KcJogv7QDs-Front-End-React-Developer-More-Cairo-Egypt?o=34&l=sp&t=sj&a=front-end|search-v3|hpb,28 days ago
Mid Junior Front End Developer,Wonder Travel -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 2 - 4 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · OOP · Java · Software Engineering · Spring · Hibernate,/jobs/p/UedfJOl1mI8q-Mid-Junior-Front-End-Developer-Wonder-Travel-Cairo-Egypt?o=35&l=sp&t=sj&a=front-end|search-v3|hpb,26 days ago
Senior Front End Developer,Wonder Travel -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · OOP · Java · Software Engineering · Spring · Hibernate,/jobs/p/vWd2Kg0dKnB8-Senior-Front-End-Developer-Wonder-Travel-Cairo-Egypt?o=36&l=sp&t=sj&a=front-end|search-v3|hpb,26 days ago
Senior Front-End Developer,ZE LOGIC -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · CSS · JavaScript · HTML · Engineering · Computer Engineering · Redux · Front-End Development,/jobs/p/lnL5TyMC4he3-Senior-Front-End-Developer-ZE-LOGIC-Giza-Egypt?o=37&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Front End (Angular) Developer Team Lead,Neom Tech -,"Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Agile · Computer Science · CSS3 · HTML5 · Information Technology (IT) · JavaScript,/jobs/p/uBAMisqzTHvJ-Front-End-Angular-Developer-Team-Lead-Neom-Tech-Cairo-Egypt?o=38&l=sp&t=sj&a=front-end|search-v3|hpb,29 days ago
Frontend Developer,URANIUM -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · jQuery · Computer Science · front-end · CSS3 · CSS · HTML · Git · HTML5,/jobs/p/aFfxIe4pO6aw-Frontend-Developer-URANIUM-Cairo-Egypt?o=39&l=sp&t=sj&a=front-end|search-v3|hpb,12 days ago
Senior Frontend JS Developer- React,Reach -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Front-End · Git · RESTful · Typescript · Computer Science · Software Development · javaScript,/jobs/p/pEl6QzhJAG6G-Senior-Frontend-JS-Developer--React-Reach-Cairo-Egypt?o=40&l=sp&t=sj&a=front-end|search-v3|hpb,8 days ago
Frontend Developer,MTS-IT -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Angular · front-end · Frontend · HTML · CSS · Information Technology (IT) · JavaScript · Bootstrap · Software Development,/jobs/p/KUcGQNdCfCDC-Frontend-Developer-MTS-IT-Cairo-Egypt?o=41&l=sp&t=sj&a=front-end|search-v3|hpb,15 days ago
Senior Frontend Developer,MTS-IT -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Angular · front-end · Frontend · HTML · CSS · Information Technology (IT) · JavaScript · Bootstrap · Software Development,/jobs/p/vDGFUUALmtbM-Senior-Frontend-Developer-MTS-IT-Cairo-Egypt?o=42&l=sp&t=sj&a=front-end|search-v3|hpb,15 days ago
Front-End Team Lead,Youxel -,"Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · Front-End Lead · Typescript · Angular · javaScript · jQuery,/jobs/p/Vv9dHNtK4mp0-Front-End-Team-Lead-Youxel-Cairo-Egypt?o=43&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
(Senior) Frontend Developer (m/f/d),WorkMotion -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Agile Software Development · Vue.js · Front-End Development · Scrum,/jobs/p/7th7zO05H5HK-Senior-Frontend-Developer-mfd-WorkMotion-Cairo-Egypt?o=44&l=sp&t=sj&a=front-end|search-v3|hpb,18 days ago
Software Engineer/Front-end,Paymint -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Front end · Git · HTML · Information Technology (IT) · JavaScript · jQuery,/jobs/p/MuOgoeGFibt8-Software-EngineerFront-end-Paymint-Cairo-Egypt?o=45&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Front-End / React & React-Native Developer - Alexandria,Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Web Development · Mobile Application · ES6 · ES7 · Front-End Technologies · Vue · Angular,/jobs/p/ZzETt4OthV4O-Front-End-React-React-Native-Developer---Alexandria-Arabic-Localizer-Alexandria-Egypt?o=46&l=sp&t=sj&a=front-end|search-v3|hpb,5 days ago
Senior Front End Developer Angular Technology,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Computer Science · CSS3 · Design · Git · HTML5 · Information Technology (IT),/jobs/p/aaHZApnVTxZ8-Senior-Front-End-Developer-Angular-Technology-FlairsTech-Cairo-Egypt?o=47&l=sp&t=sj&a=front-end|search-v3|hpb,2 days ago
Front End Developer,orca -,"Mansoura, Dakahlia, Egypt ",Full TimeWork From HomeSenior Management · 2 - 4 Yrs of Exp · IT/Software Development · Vue.js · Front-End Development · Front end · Front end developer · Computer Science,/jobs/p/omUFrEFaW6fw-Front-End-Developer-orca-Dakahlia-Egypt?o=48&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Front-end Developer - Remotely for UK from Egypt,Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · HTML5 · jQuery · Angular · CSS · JavaScript · CSS3 · Front end,/jobs/p/0CuXBYZTnstR-Front-end-Developer---Remotely-for-UK-from-Egypt-Mobile-Wave-3-Cairo-Egypt?o=49&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
UX & Web Front-End Developer,iucon Egypt -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Frameworks · Design · JavaScript · Software Development · Html 5 · HTML · Information Technology (IT),/jobs/p/csrBAOyTiGmy-UX-Web-Front-End-Developer-iucon-Egypt-Giza-Egypt?o=50&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
